trial	value
162	3.35802469135802
163	3.19018404907975
164	3.19512195121951
165	3.24848484848485
166	3.1566265060241
167	3.1377245508982
168	3.26190476190476
169	3.14792899408284
170	3.17647058823529
171	3.1812865497076
172	3.04651162790698
173	3.16763005780347
174	3.19540229885057
175	3.24571428571429
176	3.04545454545455
177	3.11864406779661
178	3.25842696629213
179	3.19553072625698
180	3.08888888888889
181	3.38121546961326
182	3.07692307692308
183	3.06010928961749
184	3.23913043478261
185	2.98378378378378
186	3.03225806451613
187	3.08021390374332
188	3
189	2.96296296296296
190	3.11578947368421
191	3.41361256544503
192	3.1875
193	3.19170984455959
194	3.09278350515464
195	3.03589743589744
196	2.85714285714286
197	3.30964467005076
198	3.29292929292929
199	2.91457286432161
200	3.08
201	3.2636815920398
202	3.16831683168317
203	3.2512315270936
204	3.29411764705882
205	3.2780487804878
206	3.39805825242718
207	3.1304347826087
208	3.21153846153846
209	3.13875598086124
210	3.08571428571429
211	3.29857819905213
212	3.16981132075472
213	3.02347417840376
214	3.14018691588785
215	2.93953488372093
216	3.25925925925926
217	3.07834101382488
218	3.15596330275229
219	2.97716894977169
220	3.29090909090909
221	3.29411764705882
222	3.11711711711712
223	3.12107623318386
224	2.98214285714286
225	3.21777777777778
226	3.09734513274336
227	3.10132158590308
228	3.08771929824561
229	3.37117903930131
230	3.14782608695652
231	3.0995670995671
232	3.01724137931034
233	3.31330472103004
234	2.90598290598291
235	3.37021276595745
236	3.30508474576271
237	3.0210970464135
238	3.32773109243697
239	3.17991631799163
240	3.03333333333333
241	3.13692946058091
242	3.32231404958678
243	3.04526748971193
244	3.26229508196721
245	2.90612244897959
246	2.99186991869919
247	3.12550607287449
248	3.20967741935484
249	3.30923694779116
250	3.136
251	3.0597609561753
252	3
253	3.19367588932806
254	3.11811023622047
255	3.15294117647059
256	3.421875
257	2.9727626459144
258	3.08527131782946
259	3.36679536679537
260	3
261	3.03448275862069
262	2.91603053435115
263	3.22433460076046
264	3.06060606060606
265	3.09433962264151
266	2.90225563909774
267	3.04119850187266
268	3.17910447761194
269	3.19702602230483
270	3.05185185185185
271	3.02583025830258
272	3.11764705882353
273	3.17948717948718
274	3.27007299270073
275	2.95272727272727
276	3.18840579710145
277	3.04693140794224
278	3.28057553956835
279	3.12544802867384
280	3.24285714285714
281	3.11743772241993
282	3.21985815602837
283	3.18021201413428
284	3.25352112676056
285	3.2
286	3.11888111888112
287	3.0383275261324
288	3.01388888888889
289	3.03114186851211
290	3.21379310344828
291	3.20274914089347
292	3.08219178082192
293	3.3037542662116
294	3.17006802721088
295	3.05084745762712
296	3.09459459459459
297	3.16498316498316
298	3.02013422818792
299	3.15719063545151
300	3.25333333333333
301	3.22923588039867
302	3.07284768211921
303	3.19471947194719
304	3.11842105263158
305	3.21311475409836
306	3.28104575163399
307	3.20521172638436
308	3.11688311688312
309	3.21035598705502
310	3.14838709677419
311	3.09967845659164
312	3.03846153846154
313	3.22044728434505
314	3.17197452229299
315	3.12380952380952
316	3.25316455696203
317	3.25552050473186
318	3.20754716981132
319	3.12225705329154
320	3.1
321	3.17757009345794
322	3.1304347826087
323	3.13312693498452
324	3.08641975308642
325	3.12615384615385
326	3.20245398773006
327	3.217125382263
328	3.19512195121951
329	3.03951367781155
330	3.09090909090909
331	2.99697885196375
332	3.21686746987952
333	2.84684684684685
334	3.24550898203593
335	3.25970149253731
336	3.21428571428571
337	3.21661721068249
338	3.05325443786982
339	2.90265486725664
340	3.07058823529412
341	3.2258064516129
342	3.04093567251462
343	3.13702623906706
344	2.96511627906977
345	3.18840579710145
346	3.16763005780347
347	3.10086455331412
348	3.26436781609195
349	3.06017191977077
350	3.23428571428571
351	3.19088319088319
352	3.21590909090909
353	3.09348441926346
354	3.1638418079096
355	3.32394366197183
356	3.1123595505618
357	3.24929971988796
358	2.99441340782123
359	3.25348189415042
360	3.14444444444444
361	3.09141274238227
362	3.0939226519337
363	3.04132231404959
364	3.17582417582418
365	3.2986301369863
366	3.2896174863388
367	3.07356948228883
368	3.07608695652174
369	3.1869918699187
370	3.02702702702703
371	3.0188679245283
372	3.17204301075269
373	3.02412868632708
374	3.05882352941176
375	3.008
376	3.25531914893617
377	3.23607427055703
378	2.98412698412698
379	3.26121372031662
380	3.18947368421053
381	3.04461942257218
382	3.10994764397906
383	3.19582245430809
384	3.22916666666667
385	3.08571428571429
386	3.05699481865285
387	2.97674418604651
388	3.12371134020619
389	3.18766066838046
390	3.11794871794872
391	3.27365728900256
392	3.05102040816327
393	3.16539440203562
394	3.14720812182741
395	3.10886075949367
396	3.17171717171717
397	3.24433249370277
398	3.07537688442211
399	3.16791979949875
400	3.18
401	3.10224438902743
402	3.08457711442786
403	3.35483870967742
404	3.22772277227723
405	3.12098765432099
406	3.12315270935961
407	3.08599508599509
408	3.00980392156863
409	3.13936430317848
410	3.25853658536585
411	3.11435523114355
412	3.2621359223301
413	3.08958837772397
414	3.14975845410628
415	3.13253012048193
416	3.09615384615385
417	3.27098321342926
418	3.11004784688995
419	3.21718377088306
420	3.24761904761905
421	3.01187648456057
422	3.36492890995261
423	3.12056737588652
424	3.10377358490566
425	3.05882352941176
426	3.14553990610329
427	3.10070257611241
428	3.10280373831776
429	3.12354312354312
430	3.16279069767442
431	3.16473317865429
432	3.21296296296296
433	3.23325635103926
434	3.05069124423963
435	3.01609195402299
436	3.13761467889908
437	3.22196796338673
438	3.15068493150685
439	3.125284738041
440	3.18181818181818
441	3.14739229024943
442	3.14027149321267
443	3.17832957110609
444	3.20720720720721
445	3.02921348314607
446	3.23766816143498
447	2.99776286353468
448	3.08035714285714
449	3.0022271714922
450	3.06666666666667
451	3.09534368070953
452	3.24778761061947
453	3.19646799116998
454	3.15418502202643
455	3.24395604395604
456	3.20175438596491
457	3.15973741794311
458	3.19650655021834
459	3.06753812636166
460	3.01739130434783
461	3.10629067245119
462	3.16883116883117
463	2.99784017278618
464	3.25862068965517
465	3.19139784946237
466	3.08154506437768
467	3.09207708779443
468	3.22222222222222
469	3.20682302771855
470	3.11489361702128
471	3.07430997876858
