DISTANCE_mean,DISTANCE_sum,FREIGHT_mean,FREIGHT_sum,MAIL_mean,MAIL_sum,PASSENGERS_mean,PASSENGERS_sum,origin_dest,source,target,PASSENGERS_sum_norm,FREIGHT_sum_norm,MAIL_sum_norm,DISTANCE_mean_norm
158.0,3634.0,96.1304347826087,2211.0,6.3478260869565215,146.0,3579.304347826087,82324.0,10136-11298,10136,11298,2.811315465579242,2.000098729176781,2.000082285693674,2.3570621468926554
980.0,2940.0,0.0,0.0,0.0,0.0,196.0,588.0,10136-11563,10136,11563,2.0057948288926752,2.0,2.0,4.214689265536723
629.0,629.0,0.0,0.0,0.0,0.0,110.0,110.0,10136-11719,10136,11719,2.001084066629582,2.0,2.0,3.4214689265536724
151.0,1963.0,29262.923076923078,380418.0,0.0,0.0,10.0,130.0,10136-12896,10136,12896,2.0012811696531423,2.0169870447637734,2.0,2.3412429378531074
151.0,151.0,0.0,0.0,0.0,0.0,60.0,60.0,10136-13158,10136,13158,2.000591309070681,2.0,2.0,2.3412429378531074
1256.0,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,10136-13303,10136,13303,2.0,2.0,2.0,4.838418079096045
970.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,10136-13342,10136,13342,2.0,2.0,2.0,4.192090395480227
1294.0,1294.0,0.0,0.0,0.0,0.0,1.0,1.0,10136-13476,10136,13476,2.0000098551511782,2.0,2.0,4.924293785310734
238.0,1428.0,0.0,0.0,0.0,0.0,25.833333333333332,155.0,10136-13851,10136,13851,2.001527548432593,2.0,2.0,2.537853107344633
1523.0,1523.0,0.0,0.0,0.0,0.0,86.0,86.0,10136-14057,10136,14057,2.0008475430013095,2.0,2.0,5.44180790960452
153.0,153.0,9700.0,9700.0,0.0,0.0,0.0,0.0,10139-11411,10139,11411,2.0,2.0004331402147337,2.0,2.3457627118644067
71.0,568.0,0.375,3.0,0.0,0.0,2.75,22.0,10139-12268,10139,12268,2.0002168133259164,2.0000001339608913,2.0,2.16045197740113
184.0,184.0,0.0,0.0,0.0,0.0,8.0,8.0,10139-12844,10139,12844,2.000078841209424,2.0,2.0,2.4158192090395483
28.0,588.0,8.238095238095237,173.0,0.0,0.0,4.666666666666667,98.0,10139-13806,10139,13806,2.0009658048154457,2.000007725078057,2.0,2.063276836158192
280.0,280.0,0.0,0.0,0.0,0.0,4.0,4.0,10139-13873,10139,13873,2.000039420604712,2.0,2.0,2.632768361581921
88.0,1056.0,0.0,0.0,0.0,0.0,3.9166666666666665,47.0,10139-13942,10139,13942,2.000463192105367,2.0,2.0,2.1988700564971753
130.0,5980.0,2181.1521739130435,100333.0,190.97826086956522,8785.0,34.43478260869565,1584.0,10139-13970,10139,13970,2.015610559465982,2.004480232697411,2.004951231636482,2.2937853107344632
149.0,2533.0,0.0,0.0,0.0,0.0,2.823529411764706,48.0,10139-14485,10139,14485,2.000473047256545,2.0,2.0,2.336723163841808
23.0,598.0,6.346153846153846,165.0,1.1153846153846154,29.0,6.884615384615385,179.0,10139-14804,10139,14804,2.0017640720608654,2.0000073678490136,2.0000163444186065,2.0519774011299434
237.0,237.0,0.0,0.0,140.0,140.0,0.0,0.0,10139-15478,10139,15478,2.0,2.0,2.0000789040898246,2.535593220338983
67.0,1005.0,8.533333333333333,128.0,0.0,0.0,6.4,96.0,10139-15785,10139,15785,2.0009460945130897,2.000005715664689,2.0,2.151412429378531
141.0,282.0,41.0,82.0,0.0,0.0,4.5,9.0,10139-15861,10139,15861,2.0000886963606024,2.0000036615976917,2.0,2.31864406779661
853.0,853.0,0.0,0.0,0.0,0.0,0.0,0.0,10140-10185,10140,10185,2.0,2.0,2.0,3.927683615819209
1834.0,7336.0,0.0,0.0,0.0,0.0,14.75,59.0,10140-10257,10140,10257,2.0005814539195033,2.0,2.0,6.144632768361582
170.0,510.0,0.0,0.0,0.0,0.0,72.0,216.0,10140-10272,10140,10272,2.0021287126544522,2.0,2.0,2.384180790960452
278.0,834.0,31.0,93.0,0.0,0.0,15.0,45.0,10140-10279,10140,10279,2.000443481803011,2.0000041527876258,2.0,2.6282485875706216
1269.0,29187.0,1923.0869565217392,44231.0,0.0,0.0,6041.347826086957,138951.0,10140-10397,10140,10397,3.369383111336928,2.001975074725556,2.0,4.867796610169492
619.0,11142.0,2383.6666666666665,42906.0,0.0,0.0,671.0555555555555,12079.0,10140-10423,10140,10423,2.119040371079292,2.001915908665296,2.0,3.3988700564971754
1886.0,3772.0,0.0,0.0,0.0,0.0,8.5,17.0,10140-10529,10140,10529,2.0001675375700265,2.0,2.0,6.262146892655367
450.0,4500.0,0.0,0.0,0.0,0.0,83.3,833.0,10140-10590,10140,10590,2.0082093409312898,2.0,2.0,3.016949152542373
1138.0,9104.0,0.0,0.0,0.0,0.0,61.5,492.0,10140-10599,10140,10599,2.0048487343795856,2.0,2.0,4.5717514124293785
1123.0,7861.0,27.285714285714285,191.0,0.0,0.0,90.0,630.0,10140-10693,10140,10693,2.006208745242152,2.0000085288434035,2.0,4.537853107344633
781.0,6248.0,0.0,0.0,0.0,0.0,59.125,473.0,10140-10713,10140,10713,2.004661486507203,2.0,2.0,3.7649717514124292
1974.0,13818.0,229.42857142857142,1606.0,0.0,0.0,184.28571428571428,1290.0,10140-10721,10140,10721,2.0127131450196445,2.000071713730398,2.0,6.461016949152542
1588.0,14292.0,0.0,0.0,0.0,0.0,18.333333333333332,165.0,10140-10792,10140,10792,2.001626099944373,2.0,2.0,5.588700564971751
672.0,18816.0,204.85714285714286,5736.0,0.0,0.0,82.64285714285714,2314.0,10140-10800,10140,10800,2.0228048198259363,2.0002561332238877,2.0,3.51864406779661
1670.0,21710.0,3998.5384615384614,51981.0,0.0,0.0,5802.2307692307695,75429.0,10140-10821,10140,10821,2.7433641982068004,2.002321140361039,2.0,5.7740112994350286
1528.0,6112.0,75.0,300.0,0.0,0.0,35.5,142.0,10140-10994,10140,10994,2.0013994314672785,2.0000133960891153,2.0,5.453107344632769
1411.0,5644.0,0.0,0.0,0.0,0.0,39.25,157.0,10140-11042,10140,11042,2.001547258734949,2.0,2.0,5.188700564971752
1449.0,10143.0,201.0,1407.0,0.0,0.0,98.57142857142857,690.0,10140-11057,10140,11057,2.006800054312833,2.0000628276579517,2.0,5.274576271186441
1342.0,6710.0,0.0,0.0,0.0,0.0,24.2,121.0,10140-11066,10140,11066,2.0011924732925404,2.0,2.0,5.032768361581921
230.0,2760.0,0.0,0.0,0.0,0.0,117.58333333333333,1411.0,10140-11085,10140,11085,2.013905618312185,2.0,2.0,2.519774011299435
734.0,3670.0,0.0,0.0,0.0,0.0,39.8,199.0,10140-11140,10140,11140,2.0019611750844257,2.0,2.0,3.6587570621468926
433.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,10140-11233,10140,11233,2.0,2.0,2.0,2.9785310734463275
580.0,7540.0,12740.384615384615,165625.0,0.0,0.0,12223.461538461539,158905.0,10140-11259,10140,11259,3.5660327979431203,2.0073957575325037,2.0,3.3107344632768365
1272.0,1272.0,0.0,0.0,0.0,0.0,18.0,18.0,10140-11267,10140,11267,2.0001773927212043,2.0,2.0,4.874576271186441
