FEATURE_ID,FEATURE_NA,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIM_LONG_,PRIM_LAT_D,PRIM_LON_1,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREAT,DATE_EDITE
600314,Cashman Park,Park,MA,25,Essex,9,424900N,0705242W,42.816758000000000,-70.878386300000003,,,,,2,7,Newburyport West,08/27/2002,
600318,Faxon Park,Park,MA,25,Norfolk,21,421418N,0705941W,42.238432799999998,-70.994770000000003,,,,,45,148,Weymouth,08/27/2002,
600319,Victory Park,Park,MA,25,Norfolk,21,421435N,0705853W,42.243155199999997,-70.981436400000007,,,,,21,69,Weymouth,08/27/2002,
600329,Morton Park,Park,MA,25,Plymouth,23,415627N,0704110W,41.940936600000001,-70.686147000000005,,,,,25,82,Plymouth,08/27/2002,
600345,Rocky Mountain Park,Park,MA,25,Franklin,11,423529N,0723510W,42.591474599999998,-72.586200399999996,,,,,111,364,Greenfield,08/27/2002,
600346,Highland Park,Park,MA,25,Franklin,11,423450N,0723526W,42.580641499999999,-72.590644800000007,,,,,92,302,Greenfield,08/27/2002,
600350,Wesson Park,Park,MA,25,Hampden,13,420635N,0723251W,42.109816400000000,-72.547587600000000,,,,,51,167,Springfield South,08/27/2002,
600360,Pontoosuc Park,Park,MA,25,Berkshire,3,422908N,0731501W,42.485639599999999,-73.250382200000004,,,,,349,1145,Pittsfield West,08/27/2002,
600369,Central Park,Park,MA,25,Worcester,27,422456N,0714056W,42.415647900000003,-71.682291300000003,,,,,111,364,Clinton,08/27/2002,
600370,Fuller Field,Park,MA,25,Worcester,27,422544N,0714056W,42.428981100000001,-71.682291399999997,,,,,85,279,Clinton,08/27/2002,
600372,Harris Field,Park,MA,25,Worcester,27,423337N,0714434W,42.560367999999997,-71.742849500000005,,,,,136,446,Shirley,08/27/2002,
600379,Wells State Park,Park,MA,25,Worcester,27,420847N,0720401W,42.146482900000002,-72.067020299999996,,,,,221,725,East Brookfield,08/27/2002,
600402,Cutler Park,Park,MA,25,Norfolk,21,421703N,0711159W,42.284264600000000,-71.199776400000005,,,,,27,89,Newton,08/27/2002,
600415,Edgartown Memorial Park,Park,MA,25,Dukes,7,412330N,0703114W,41.391782700000000,-70.520582200000007,,,,,6,20,Edgartown,08/27/2002,
600431,Lynch Park,Park,MA,25,Essex,9,423245N,0705140W,42.545928600000003,-70.861159499999999,,,,,2,7,Marblehead North,08/27/2002,
600452,Salisbury Beach State Reservation,Park,MA,25,Essex,9,424936N,0704906W,42.826758300000002,-70.818384800000004,,,,,3,10,Newburyport East,08/27/2002,
600453,Plum Island State Park,Park,MA,25,Essex,9,424209N,0704645W,42.702593499999999,-70.779215399999998,,,,,2,7,Ipswich,08/27/2002,
600500,Island Grove Park,Park,MA,25,Plymouth,23,420645N,0705618W,42.112600600000000,-70.938377399999993,,,,,33,108,Whitman,08/27/2002,
600513,Webb Park,Park,MA,25,Norfolk,21,421320N,0705748W,42.222321999999998,-70.963380099999995,,,,,24,79,Weymouth,08/27/2002,
600514,Watson Park,Park,MA,25,Norfolk,21,421334N,0705755W,42.226210899999998,-70.965324600000002,,,,,3,10,Weymouth,08/27/2002,
600544,Pingree Park,Park,MA,25,Essex,9,423225N,0705243W,42.540373099999996,-70.878659900000002,,,,,3,10,Salem,08/27/2002,
600548,Lynn Common,Park,MA,25,Essex,9,422750N,0705728W,42.463985200000003,-70.957827399999999,,,,,10,33,Lynn,08/27/2002,
600566,Ames Nowell State Park,Park,MA,25,Plymouth,23,420735N,0705913W,42.126489100000001,-70.986989800000003,,,,,52,171,Weymouth,08/27/2002,
600598,Beals Park,Park,MA,25,Norfolk,21,421435N,0705648W,42.243155399999999,-70.946713399999993,,,,,6,20,Weymouth,08/27/2002,
600619,Weston Park,Park,MA,25,Norfolk,21,421259N,0705758W,42.216488800000000,-70.966157800000005,,,,,20,66,Weymouth,08/27/2002,
600649,Obear Park,Park,MA,25,Essex,9,423247N,0705358W,42.546484100000001,-70.899493800000002,,,,,2,7,Salem,08/27/2002,
600673,Forest River Park,Park,MA,25,Essex,9,423022N,0705303W,42.506206900000002,-70.884214900000003,,,,,8,26,Salem,08/27/2002,
600675,Highland Park,Park,MA,25,Essex,9,423005N,0705428W,42.501484699999999,-70.907826600000007,,,,,19,62,Salem,08/27/2002,
600677,Salem Common,Park,MA,25,Essex,9,423125N,0705321W,42.523706599999997,-70.889215399999998,,,,,5,16,Salem,08/27/2002,
600683,Kernwood Park,Park,MA,25,Essex,9,423223N,0705406W,42.539817499999998,-70.901715999999993,,,,,9,30,Salem,08/27/2002,
600716,Puritan Lawn Memorial Park,Park,MA,25,Essex,9,423145N,0705956W,42.529261800000000,-70.998940399999995,,,,,37,121,Salem,08/27/2002,
600735,Shattuck Park,Park,MA,25,Norfolk,21,421135N,0711238W,42.193154200000002,-71.210609099999999,,,,,64,210,Norwood,08/27/2002,
600741,Mansfield Memorial Park,Park,MA,25,Bristol,5,420155N,0711230W,42.032043700000003,-71.208384600000002,,,,,50,164,Mansfield,08/27/2002,
600781,Atkinson Common,Park,MA,25,Essex,9,424935N,0705348W,42.826479900000002,-70.896720200000004,,,,,13,43,Newburyport West,08/27/2002,
600807,Linwood Park,Park,MA,25,Middlesex,17,422126N,0711255W,42.357318900000003,-71.215332799999999,,,,,8,26,Newton,08/27/2002,
600811,Allison Park,Park,MA,25,Middlesex,17,422200N,0711150W,42.366763300000002,-71.197276900000006,,,,,3,10,Newton,08/27/2002,
600812,Saltonstall Park,Park,MA,25,Middlesex,17,422206N,0711118W,42.368429900000002,-71.188387800000001,,,,,8,26,Newton,08/27/2002,
600819,How Park,Park,MA,25,Middlesex,17,422203N,0711139W,42.367596599999999,-71.194221200000001,,,,,4,13,Newton,08/27/2002,
600821,Lowell Park,Park,MA,25,Middlesex,17,422120N,0711231W,42.355652300000003,-71.208665999999994,,,,,15,49,Newton,08/27/2002,
600863,Edmands Park,Park,MA,25,Middlesex,17,422037N,0711150W,42.343708100000001,-71.197276799999997,,,,,31,102,Newton,08/27/2002,
