FEATURE_ID,FEATURE_NA,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIM_LONG_,PRIM_LAT_D,PRIM_LON_1,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREAT,DATE_EDITE
1919487,Downtown Hardwick Village Historic District,Park,VT,50,Caledonia,5,443022N,0722155W,44.506165099999997,-72.365384300000002,,,,,260,853,Caspian Lake,05/08/2001,
1919536,Hardwick Street Historic District,Park,VT,50,Caledonia,5,443249N,0721749W,44.546997699999999,-72.297048899999993,,,,,414,1358,Caspian Lake,05/08/2001,
1919569,Kiwanis Pool and Tennis Courts,Park,VT,50,Caledonia,5,442454N,0720128W,44.415058100000003,-72.024539399999995,,,,,192,630,Saint Johnsbury,05/08/2001,
1919570,Levi Pond Wildlife Management Area,Park,VT,50,Caledonia,5,441555N,0721328W,44.265338399999997,-72.224541099999996,,,,,519,1703,Peacham,05/08/2001,
1919609,New Discovery Recreation Area,Park,VT,50,Caledonia,5,441912N,0721719W,44.320058899999999,-72.288711000000006,,,,,528,1732,Marshfield,05/08/2001,
1919661,Powers Park,Park,VT,50,Caledonia,5,443220N,0720028W,44.538944200000003,-72.007873700000005,,,,,215,705,Lyndonville,05/08/2001,
1919664,Railroad Street Historic District,Park,VT,50,Caledonia,5,442503N,0720052W,44.417558100000001,-72.014539200000002,,,,,174,571,Saint Johnsbury,05/08/2001,
1919673,Ricker Recreational Area,Park,VT,50,Caledonia,5,441505N,0721451W,44.251449700000002,-72.247596700000003,,,,,324,1063,Peacham,05/08/2001,
1919684,Saint Johnsbury Historic District,Park,VT,50,Caledonia,5,442509N,0720055W,44.419224800000002,-72.015372600000006,,,,,182,597,Saint Johnsbury,05/08/2001,
1919685,Saint Johnsbury Main Street Historic District,Park,VT,50,Caledonia,5,442508N,0720113W,44.418947000000003,-72.020372699999996,,,,,210,689,Saint Johnsbury,05/08/2001,
1919721,Steam Mill Brook Wildlife Management Area,Park,VT,50,Caledonia,5,442905N,0721518W,44.484777000000001,-72.255102699999995,,,,,499,1637,Cabot,05/08/2001,
1919726,Stillwater Recreation Area,Park,VT,50,Caledonia,5,441645N,0721622W,44.279226700000002,-72.272875999999997,,,,,341,1119,Marshfield,05/08/2001,
1919964,Craftsbury Common,Park,VT,50,Orleans,19,443913N,0722259W,44.653661999999997,-72.383162900000002,,,,,379,1243,Albany,05/08/2001,
1919975,Crystal Lake State Park,Park,VT,50,Orleans,19,444456N,0720946W,44.748938299999999,-72.162879000000004,,,,,288,945,Crystal Lake,05/08/2001,
1920036,Irasburg Square,Park,VT,50,Orleans,19,444810N,0721645W,44.802826099999997,-72.279271100000003,,,,,287,942,Irasburg,05/08/2001,
1920106,Roaring Brook Park,Park,VT,50,Orleans,19,444431N,0721113W,44.741993800000003,-72.187046400000000,,,,,267,876,Crystal Lake,05/08/2001,
1920121,South Bay State Wildlife Management Area,Park,VT,50,Orleans,19,445225N,0721143W,44.873658700000000,-72.195379700000004,,,,,209,686,Orleans,05/08/2001,
1920158,Willoughby Falls State Wildlife Management Area,Park,VT,50,Orleans,19,444905N,0721153W,44.818103899999997,-72.198157699999996,,,,,215,705,Orleans,05/08/2001,
1920171,Arlington Village Historic District,Park,VT,50,Bennington,3,430420N,0730917W,43.072299600000001,-73.154828899999998,,,,,197,646,Arlington,05/08/2001,
1920178,Bennington Battle Monument,Park,VT,50,Bennington,3,425320N,0731255W,42.888967600000001,-73.215385800000007,,,,,264,866,Bennington,05/08/2001,
1920229,Dana L Thompson Memorial Park,Park,VT,50,Bennington,3,431102N,0730325W,43.183965000000001,-73.057048800000004,,,,,231,758,Manchester,05/08/2001,
1920238,Downtown Bennington Historic District,Park,VT,50,Bennington,3,425243N,0731148W,42.878689999999999,-73.196774099999999,,,,,207,679,Bennington,05/08/2001,
1920253,Equinox House Historic District,Park,VT,50,Bennington,3,430943N,0730422W,43.162020800000001,-73.072882399999997,,,,,275,902,Manchester,05/08/2001,
1920298,Kent Neighborhood Historic District,Park,VT,50,Bennington,3,431442N,0730621W,43.245075499999999,-73.105938600000002,,,,,295,968,Manchester,05/08/2001,
1920319,Manchester Village Historic District,Park,VT,50,Bennington,3,430936N,0730419W,43.160076400000001,-73.072049100000001,,,,,271,889,Manchester,05/08/2001,
1920336,Monument Square,Park,VT,50,Bennington,3,425320N,0731255W,42.888967600000001,-73.215385800000007,,,,,264,866,Bennington,05/08/2001,
1920346,North Bennington Historic District,Park,VT,50,Bennington,3,425549N,0731431W,42.930356000000003,-73.242053400000003,,,,,196,643,Bennington,05/08/2001,
1920361,Old Bennington Historic District,Park,VT,50,Bennington,3,425303N,0731248W,42.884245399999998,-73.213441300000000,,,,,244,801,Bennington,05/08/2001,
1920427,Seth Warner Statue,Park,VT,50,Bennington,3,425318N,0731255W,42.888412000000002,-73.215385800000007,,,,,262,860,Bennington,05/08/2001,
1920433,Center Shaftsbury Historic District,Park,VT,50,Bennington,3,425858N,0731222W,42.982855800000003,-73.206219300000001,,,,,331,1086,Bennington,05/08/2001,
1920439,Shaftsbury State Park,Park,VT,50,Bennington,3,430115N,0731053W,43.020911099999999,-73.181496400000000,,,,,259,850,Arlington,05/08/2001,
