FEATURE_ID,FEATURE_NA,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIM_LONG_,PRIM_LAT_D,PRIM_LON_1,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREAT,DATE_EDITE
1917019,Danbury Bog Wildlife Management Area,Park,NH,33,Merrimack,13,433040N,0715035W,43.511185500000003,-71.843136799999996,,,,,250,820,Danbury,05/08/2001,
1917026,Donati Memorial Field,Park,NH,33,Merrimack,13,430517N,0712743W,43.088138499999999,-71.462012700000002,,,,,75,246,Manchester North,05/08/2001,
1917071,Franklin Falls Historic District,Park,NH,33,Merrimack,13,432642N,0713848W,43.445076499999999,-71.646743200000003,,,,,93,305,Franklin,05/08/2001,
1917081,Garrison Park,Park,NH,33,Merrimack,13,431437N,0713428W,43.243691300000002,-71.574517599999993,,,,,115,377,Concord,05/08/2001,
1917092,Grappone Park,Park,NH,33,Merrimack,13,431249N,0713300W,43.213691900000001,-71.550072200000002,,,,,94,308,Concord,05/08/2001,
1917105,Hirst State Wildlife Management Area,Park,NH,33,Merrimack,13,431650N,0713743W,43.280634599999999,-71.628686099999996,,,,,134,440,Webster,05/08/2001,
1917107,Hannah Duston Memorial State Historic Site,Park,NH,33,Merrimack,13,431725N,0713510W,43.290357100000001,-71.586185099999994,,,,,77,253,Penacook,05/08/2001,12/31/2013
1917110,Heights Playground,Park,NH,33,Merrimack,13,431250N,0713024W,43.213970199999999,-71.506737599999994,,,,,105,344,Concord,05/08/2001,
1917119,Holt Road Marsh State Wildlife Manangement Area,Park,NH,33,Merrimack,13,431745N,0713133W,43.295913200000001,-71.525905800000004,,,,,127,417,Penacook,05/08/2001,
1917151,Jamie Welch Memorial Field,Park,NH,33,Merrimack,13,431908N,0713735W,43.318967399999998,-71.626463999999999,,,,,104,341,Webster,05/08/2001,
1917157,Kimball Park,Park,NH,33,Merrimack,13,431303N,0713256W,43.217580800000000,-71.548961000000006,,,,,90,295,Concord,05/08/2001,
1917162,Knight Meadow Marsh Wildlife Management Area,Park,NH,33,Merrimack,13,431915N,0714548W,43.320910400000002,-71.763411899999994,,,,,143,469,Warner,05/08/2001,
1917163,Leonard State Wildlife Management Area,Park,NH,33,Merrimack,13,431925N,0714613W,43.323688099999998,-71.770356399999997,,,,,157,515,Warner,05/08/2001,
1917180,Memorial Field,Park,NH,33,Merrimack,13,431140N,0713325W,43.194525400000003,-71.557016599999997,,,,,91,299,Concord,05/08/2001,
