tweet_id,time,lat,lon,goog_x,goog_y,sender_id,sender_nam,source,reply_to_u,reply_to_t,place_id,tweet_text
746290521786695000,2016-06-24 10:35:00,52.620470099999900,-8.656034999999990,-963585.408357000000000,6913101.411350000000000,313579110,maurice_danaher,Talon Plus,0,0,54e862bb3ff2f749,I was shocked and a little concerned when it got as close as it did... Now...now I'm just pissed off and disappointed #Brexit
746290728096174000,2016-06-24 10:35:49,19.178879960000000,72.847855179999900,8109386.142910000000000,2176007.493760000000000,171804061,Sexymunda_,Hootsuite,0,0,7929cea6bd5b32bd,Vijay Mallya enters UK and pound crashes...  Yeh Nahi Sudhrega! #Brexit V
746290728066818000,2016-06-24 10:35:49,19.178879960000000,72.847855179999900,8109386.142910000000000,2176007.493760000000000,575487812,Guyinblack_,Hootsuite,0,0,7929cea6bd5b32bd,Vijay Mallya enters UK and pound crashes...  Yeh Nahi Sudhrega! #Brexit V
746290727127236000,2016-06-24 10:35:49,51.507114860000000,-0.127318050000000,-14172.980492800000000,6711491.477160000000000,393571853,RyanOGiobuin,Instagram,0,0,457b4814b4240d87,"Photo from a few weeks back. Bye bye EU #brexit #london #bigben @ London, United Kingdom https://t.co/CGqAobVMpD"
746290741853446000,2016-06-24 10:35:52,-33.457804400000000,-70.637851699999900,-7863369.680900000000000,-3956228.692110000000000,246615165,barrerach,Twitter for Android,0,0,0010b4cb51ca93d8,"""@Cooperativa: Tras triunfo del ""brexit"", el primer ministro David Cameron anunci?? que renunciar?í al cargo"" deja la cagada y se va"
746290748564344000,2016-06-24 10:35:54,-33.453753339999900,-70.608047159999900,-7860051.854680000000000,-3955688.172280000000000,48728275,RodrigoChimogo,Twitter for iPhone,0,0,019f2f4e187ace41,El #Brexit va a dar paso a la escisi??n de Escocia.
746290756575363000,2016-06-24 10:35:56,51.507114860000000,-0.127318050000000,-14172.980492800000000,6711491.477160000000000,216314360,MarkettoMarkDj,Instagram,0,0,457b4814b4240d87,Brexit!!! #me #night #nightlife #day #daylife #life #love #top #friends #friend #happy #travel?Çª https://t.co/TybSTi1irS
746290827803107000,2016-06-24 10:36:13,28.465275890000000,-16.253235620000000,-1809301.912710000000000,3307762.090390000000000,1440393044,JorgeLuis101269,Twitter for Windows Phone,0,0,7974acce42d034d5,Lo del #Brexit ha sido m?ís inesperado que la muerte de #JonSnow ??Alguien resucitar?í a la #UE?
746290972418519000,2016-06-24 10:36:47,52.113311410000000,11.624645190000000,1294049.583030000000000,6820639.597570000000000,79706063,olaf_meister,Twitter for iPhone,0,0,4d6e86b07e4383c8,Spanien thematisiert #Gibraltar. Der Nordirlandkonflikt wird diskutiert. Nur Stunden nach #Brexit zeigt sich f??r was so ne EU gut ist/war.
746291047479685000,2016-06-24 10:37:05,45.419204710000000,-75.696774520000000,-8426526.393100000000000,5687759.892770000000000,67972476,OttawaCP,dlvr.it,0,0,38d5974e82ed1a6c,"Ottawa trends now: David Cameron, Leave, Britain, Sunny, #Brexit and #NBADraft. https://t.co/BcfDjVWDDy"
